本草和解卷一至七,大江顺轩
本草和解,摄江正次
本草和解,曲直濑正庆
本草和名,深根辅仁
本草和名,深江辅仁
本草和名钞卷上、中、下,[丹波康赖]
本草和名,深江辅二
本草和名,
本草和名考上、下,冈本保孝
本草和名上、下,深江辅仁
本草和名下,[深江辅仁]
本草和名字类,高田与清
本草喉襟,稻宣义（彰信）
本草汇,郭佩兰
本草汇,郭章宜
本草或问,神田玄泉(一通子)
本草集方,
本草集要,王纶
本草集注序录残,陶弘景
本草集注序录残一卷存卷第一,陶弘景
本草简明图说,高承炳
本草讲义,山西省中医学校
本草经,多纪元简
本草经百种录,徐大椿
本草经百种录,徐灵胎
本草经百种录,徐洄溪
本草经百种录上、中、下品,徐洄溪
本草经集注,陶弘景
本草经集注附集注本草解说,陶弘景
本草经解,叶桂
本草经解四附余,叶桂
本草经解要附余,杨友敬
本草经解要卷一至四,桂天士(叶桂)
本草经解要,叶桂
本草经解要四附余,叶桂(天士)
本草经考注,森立之
本草经,吴普等
本草经本草经疏,吴普等
本草经疏辑要,吴世铠
本草经疏,缪希雍
本草经序例笺注,附录
本草类编选日本敕号记,丹波康赖
本草类方卷之一至一0,年希尧
本草类方,年希尧
本草类函要领,玄在德
本草类纂必读,何镇
本草蒙荃,陈嘉谟
本草蒙筌十二首,陈嘉谟
本草蒙筌图,陈嘉谟
本草明辨,项元麟
本草品汇,刘文泰
本草品汇精要残二十三卷存卷第二十至第四十二,刘文泰等
本草品汇精要残三卷存卷首卷第一第二,刘文泰等
本草品汇精要四十首一附续集十脉诀四言举要四十首一附十,刘文泰等
本草品汇精要四二续集,刘文泰
本草品汇精要,刘文泰
本草品汇精要校勘记,谢观(利恒)
本草启蒙名疏卷一至七,小野职孝
本草启蒙名疏,小野职博
本草启牖卷一至四,西村直方
本草求真,黄涫绣
本草求真附脉理求真,黄涫绣
本草求真,黄宫绣
本草求真九附脉理求真,黄宫绣
本草求真九图一主治二脉理求真九一二,黄宫绣
本草求真九主治二脉理求真九二,黄宫绣
本草求真九主治二图九二,黄宫绣
本草求真末附《脉理求真》,黄宫绣
本草求真,黄宫绣(锦芳)
本草求真十脉理求真十,黄宫绣
本草权度,黄济之
本草筌卷一至五,吉田
本草三家合注附神农本草经百种录六附,郭汝听
本草三家合注,郭汝听
本草三家合注,郭汝骢
本草三家合注六附神农本草经百种录六附,郭汝听
本草诗笺,朱钥(东樵)
本草诗笺卷一至一0,朱錀
本草诗笺,朱钥
本草诗笺,朱錀
本草食物篡要,潘孚先
本草述钩元,杨时泰
本草述钩元,泰贞颐
本草述钩元,刘若金
本草述,张三锡
本草述,刘若金
本草述,刘著金(云密)
本草思辨录,周岩
本草思辨录四首,周岩
本草通玄,李中梓
本草通玄卷上、下,李中梓
本草通元,李中梓
本草图谱,岩崎常正
本草图谱,岩崎正常
本草图谱,山草之部
本草图谱,服部雪斋
本草图谱第,岩崎常正(灌园)
本草图谱,岩崎常正（灌园）
本草图谱,索引二卷
本草图谱卷七三、七七,岩崎常正
本草图谱卷三四、三五,岩崎常正
本草图谱卷五三至五四、六一至六二、六四至七二、七五、八四、九三至九五,岩崎常正(灌园)
本草图谱卷之五0、五二,岩崎常正
本草图谱卷之五至八,山草部一、二
本草图谱,岩崎灌园
本草图谱五-,岩崎常正
本草图谱总目,卷五、七、一0之目录
本草图翼,稻生
本草万方钱齐,蔡烈先(茧斋)
本草万方针线,蔡烈先
本草万方针线八本草药品总目八、,蔡烈先
